Date_Key,Date,Day,Month,Month_Name,Quarter,Year,Week_Number,Day_Name,Is_Weekend,Financial_Year
20190101,2019-01-01,1,1,January,Q1,2019,1,Tuesday,No,2018-19
20190102,2019-01-02,2,1,January,Q1,2019,1,Wednesday,No,2018-19
20190103,2019-01-03,3,1,January,Q1,2019,1,Thursday,No,2018-19
20190104,2019-01-04,4,1,January,Q1,2019,1,Friday,No,2018-19
20190105,2019-01-05,5,1,January,Q1,2019,1,Saturday,Yes,2018-19
20190106,2019-01-06,6,1,January,Q1,2019,1,Sunday,Yes,2018-19
20190107,2019-01-07,7,1,January,Q1,2019,2,Monday,No,2018-19
20190108,2019-01-08,8,1,January,Q1,2019,2,Tuesday,No,2018-19
20190109,2019-01-09,9,1,January,Q1,2019,2,Wednesday,No,2018-19
20190110,2019-01-10,10,1,January,Q1,2019,2,Thursday,No,2018-19
20190111,2019-01-11,11,1,January,Q1,2019,2,Friday,No,2018-19
20190112,2019-01-12,12,1,January,Q1,2019,2,Saturday,Yes,2018-19
20190113,2019-01-13,13,1,January,Q1,2019,2,Sunday,Yes,2018-19
20190114,2019-01-14,14,1,January,Q1,2019,3,Monday,No,2018-19
20190115,2019-01-15,15,1,January,Q1,2019,3,Tuesday,No,2018-19
20190116,2019-01-16,16,1,January,Q1,2019,3,Wednesday,No,2018-19
20190117,2019-01-17,17,1,January,Q1,2019,3,Thursday,No,2018-19
20190118,2019-01-18,18,1,January,Q1,2019,3,Friday,No,2018-19
20190119,2019-01-19,19,1,January,Q1,2019,3,Saturday,Yes,2018-19
20190120,2019-01-20,20,1,January,Q1,2019,3,Sunday,Yes,2018-19
20190121,2019-01-21,21,1,January,Q1,2019,4,Monday,No,2018-19
20190122,2019-01-22,22,1,January,Q1,2019,4,Tuesday,No,2018-19
20190123,2019-01-23,23,1,January,Q1,2019,4,Wednesday,No,2018-19
20190124,2019-01-24,24,1,January,Q1,2019,4,Thursday,No,2018-19
20190125,2019-01-25,25,1,January,Q1,2019,4,Friday,No,2018-19
20190126,2019-01-26,26,1,January,Q1,2019,4,Saturday,Yes,2018-19
20190127,2019-01-27,27,1,January,Q1,2019,4,Sunday,Yes,2018-19
