Loan_ID,Date_Key,Customer_ID,Branch_ID,Employee_ID,Loan_Product_ID,Location_ID,Loan_Status_ID,Payment_Method_ID,Loan_Amount,Interest_Rate,Loan_Term_Months,Monthly_EMI,Processing_Fee,Insurance_Fee,Annual_Income,Credit_Score,Debt_To_Income_Ratio,Loan_To_Value,Collateral_Value,Outstanding_Balance,Total_Interest,Total_Repayment,Paid_Amount,Late_Fee,Days_Past_Due,Risk_Score,Default_Flag,Approval_Time_Days
LN000001,20260304,CUST07297,BR007,EMP0760,LP018,LOC032,1,5,3119762.68,14.61,240,40184.59,31197.63,7799.41,835264,528,33.21,41.64,7492225.46,8805836.58,6524538.15,9644300.84,838464.26,317,19,57,0,4
LN000002,20260415,CUST45963,BR140,EMP0430,LP015,LOC058,1,3,1065297.74,9.18,120,13598.74,10652.98,2663.24,277257,584,18.55,92.65,1149808.68,1076611.13,566550.65,1631848.39,555237.26,892,12,38,0,14
LN000003,20221109,CUST39566,BR068,EMP0827,LP003,LOC094,3,1,1997197.1,17.18,24,98918.77,19971.97,4992.99,2499103,770,55.62,74.02,2698185.76,1063478.15,376853.37,2374050.48,1310572.32,669,22,10,0,11
LN000004,20210722,CUST18966,BR021,EMP0876,LP015,LOC013,3,5,3364713.39,16.26,36,118725.7,33647.13,8411.78,1415905,689,21.52,54.68,6153462.67,2691925.32,909411.69,4274125.08,1582199.76,1501,19,18,0,12
LN000005,20210929,CUST10709,BR119,EMP0389,LP018,LOC082,1,3,4082739.95,16.35,12,371107.05,40827.4,10206.85,1171132,870,11.77,57.35,7118988.59,3433268.33,370544.62,4453284.57,1020016.25,4746,29,0,0,4
LN000006,20260508,CUST32718,BR102,EMP0906,LP030,LOC019,1,4,1156385.3,13.39,60,26542.76,11563.85,2890.96,835652,571,33.56,72.09,1604085.58,402897.12,436180.37,1592565.67,1189668.55,4274,4,49,0,2
LN000007,20190712,CUST07186,BR040,EMP0643,LP011,LOC088,3,3,1389333.22,11.51,180,16238.88,13893.33,3473.33,2751520,732,63.41,87.34,1590718.14,1376398.25,1533665.68,2922998.9,1546600.65,4498,3,18,0,13
LN000008,20260310,CUST22294,BR029,EMP0301,LP028,LOC021,4,5,1259616.78,16.7,60,31101.89,12596.17,3149.04,263611,764,51.91,67.92,1854559.45,52460.0,606496.85,1866113.63,1813653.63,4258,9,5,0,4
LN000009,20200918,CUST24505,BR196,EMP0166,LP035,LOC100,1,1,776107.19,12.63,24,36762.81,7761.07,1940.27,252398,843,58.33,85.74,905186.84,62556.82,106200.34,882307.53,819750.7,4747,7,0,0,2
LN000010,20240613,CUST04536,BR195,EMP0546,LP009,LOC017,4,4,2537152.32,13.04,360,28145.31,25371.52,6342.88,2556043,786,21.65,69.66,3642193.97,5844946.75,7595160.33,10132312.65,4287365.9,3159,12,0,0,15
