Loan_ID,Date_Key,Customer_ID,Branch_ID,Employee_ID,Loan_Product_ID,Location_ID,Loan_Status_ID,Payment_Method_ID,Loan_Amount,Interest_Rate,Loan_Term_Months,Monthly_EMI,Processing_Fee,Insurance_Fee,Annual_Income,Credit_Score,Debt_To_Income_Ratio,Loan_To_Value,Collateral_Value,Outstanding_Balance,Total_Interest,Total_Repayment,Paid_Amount,Late_Fee,Days_Past_Due,Risk_Score,Default_Flag,Approval_Time_Days
LN000001,2026-03-04,CUST07297,BR007,EMP0760,LP018,LOC032,1,5,3119762.68,14.61,240,40184.59,31197.63,7799.41,835264,528,33.21,41.64,7492225.46,8805836.58,6524538.15,9644300.84,838464.26,317.0,19.0,57.0,0.0,4.0
LN000002,2026-04-15,CUST45963,BR140,EMP0430,LP015,LOC058,1,3,1065297.74,9.18,120,13598.74,10652.98,2663.24,277257,584,18.55,92.65,1149808.68,1076611.13,566550.65,1631848.39,555237.26,892.0,12.0,38.0,0.0,14.0
LN000003,2022-11-09,CUST39566,BR068,EMP0827,LP003,LOC094,3,1,1997197.1,17.18,24,98918.77,19971.97,4992.99,2499103,770,55.62,74.02,2698185.76,1063478.15,376853.37,2374050.48,1310572.32,669.0,22.0,10.0,0.0,11.0
LN000004,2021-07-22,CUST18966,BR021,EMP0876,LP015,LOC013,3,5,3364713.39,16.26,36,118725.7,33647.13,8411.78,1415905,689,21.52,54.68,6153462.67,2691925.32,909411.69,4274125.08,1582199.76,1501.0,19.0,18.0,0.0,12.0
LN000005,2021-09-29,CUST10709,BR119,EMP0389,LP018,LOC082,1,3,4082739.95,16.35,12,371107.05,40827.4,10206.85,1171132,870,11.77,57.35,7118988.59,3433268.33,370544.62,4453284.57,1020016.25,4746.0,29.0,0.0,0.0,4.0
LN000006,2026-05-08,CUST32718,BR102,EMP0906,LP030,LOC019,1,4,1156385.3,13.39,60,26542.76,11563.85,2890.96,835652,571,33.56,72.09,1604085.58,402897.12,436180.37,1592565.67,1189668.55,4274.0,4.0,49.0,0.0,2.0
LN000007,2019-07-12,CUST07186,BR040,EMP0643,LP011,LOC088,3,3,1389333.22,11.51,180,16238.88,13893.33,3473.33,2751520,732,63.41,87.34,1590718.14,1376398.25,1533665.68,2922998.9,1546600.65,4498.0,3.0,18.0,0.0,13.0
LN000008,2026-03-10,CUST22294,BR029,EMP0301,LP028,LOC021,4,5,1259616.78,16.7,60,31101.89,12596.17,3149.04,263611,764,51.91,67.92,1854559.45,52460.0,606496.85,1866113.63,1813653.63,4258.0,9.0,5.0,0.0,4.0
LN000009,2020-09-18,CUST24505,BR196,EMP0166,LP035,LOC100,1,1,776107.19,12.63,24,36762.81,7761.07,1940.27,252398,843,58.33,85.74,905186.84,62556.82,106200.34,882307.53,819750.7,4747.0,7.0,0.0,0.0,2.0
LN000010,2024-06-13,CUST04536,BR195,EMP0546,LP009,LOC017,4,4,2537152.32,13.04,360,28145.31,25371.52,6342.88,2556043,786,21.65,69.66,3642193.97,5844946.75,7595160.33,10132312.65,4287365.9,3159.0,12.0,0.0,0.0,15.0
LN000011,2024-10-20,CUST29589,BR031,EMP0254,LP015,LOC009,5,1,1022749.41,9.92,48,25900.29,10227.49,2556.87,338224,646,48.93,43.24,2365285.42,1234274.24,220464.58,1243213.99,8939.75,2806.0,27.0,33.0,0.0,9.0
LN000012,2021-09-01,CUST18251,BR172,EMP0498,LP014,LOC070,1,1,5000000.0,10.05,180,53883.3,50000.0,12500.0,2645128,435,20.47,45.33,11030222.81,1867085.54,4698994.42,9698994.42,7831908.87,3925.0,13.0,77.0,0.0,11.0
LN000013,2026-04-30,CUST42349,BR026,EMP0063,LP026,LOC094,1,1,987061.51,9.5,180,10307.14,9870.62,2467.65,708307,647,20.09,65.44,1508345.82,1595207.04,868223.67,1855285.18,260078.14,4608.0,27.0,19.0,0.0,1.0
LN000014,2026-04-25,CUST35428,BR215,EMP0016,LP006,LOC097,1,3,2037998.03,12.55,120,29890.97,20379.98,5095.0,947559,542,19.06,40.12,5079755.81,349929.32,1548918.72,3586916.75,3236987.43,3827.0,25.0,50.0,0.0,7.0
LN000015,2026-10-24,CUST47875,BR201,EMP0570,LP032,LOC020,3,2,1860576.76,8.11,240,15690.22,18605.77,4651.44,1494482,494,27.25,42.76,4351208.5,3536108.62,1905076.97,3765653.73,229545.11,4450.0,27.0,67.0,0.0,1.0
LN000016,2024-09-11,CUST05251,BR218,EMP0191,LP005,LOC077,3,3,2643822.86,17.39,360,38530.34,26438.23,6609.56,1236516,369,42.7,74.07,3569357.18,10455689.54,11227101.03,13870923.9,3415234.35,4382.0,18.0,100.0,0.0,15.0
